CODIGO_MESA,CANDIDATURA,ID_PAIS,PAIS,ID_DEPARTAMENTO,DEPARTAMENTO,CIRCUNSCRIPCION_UNINOMINAL,CIRCUNSCRIPCION_ESPECIAL,ID_PROVINCIA,PROVINCIA,SECCION,MUNICIPIO,ID_LOCALIDAD,LOCALIDAD,ID_RECINTO,RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,CREEMOS,ADN,MAS_IPSP,FPV,PAN_BOL,LIBRE_21,CC,JUNTOS,APG,CPEM_B,CIDOB,BIA_YUQUI,CONAMAQ,OICH,ORCAWETA,YAMINAWA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
1001,PRESIDENTE,4,Alemania,61,Berlín,0,0,1,Berlín,1,Berlín,3804,Berlín,25129,Embajada,1,220,2,0,34,0,1,0,104,0,0,0,0,0,0,0,0,0,141,0,0,141,141,141
1005,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,3,220,7,0,110,4,1,0,30,0,0,0,0,0,0,0,0,0,152,1,4,157,152,157
1007,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,5,220,4,0,74,2,1,0,38,0,0,0,0,0,0,0,0,0,119,0,7,126,119,126
1008,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,6,220,4,0,83,3,1,0,38,0,0,0,0,0,0,0,0,0,129,0,3,132,129,132
1010,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,8,220,5,0,64,1,0,0,35,0,0,0,0,0,0,0,0,0,105,0,6,111,105,111
1012,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,10,220,9,0,82,0,2,0,39,0,0,0,0,0,0,0,0,0,132,0,6,138,132,138
1013,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,11,220,7,0,77,2,1,0,50,0,0,0,0,0,0,0,0,0,137,0,6,143,137,143
1022,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25162,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,1,220,3,0,84,3,1,0,43,0,0,0,0,0,0,0,0,0,134,1,0,135,134,135
1023,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25162,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,2,220,6,0,93,3,0,0,36,0,0,0,0,0,0,0,0,0,138,0,5,143,138,143
1024,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25162,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,3,220,2,0,89,5,1,0,32,0,0,0,0,0,0,0,0,0,129,0,0,129,129,129
1026,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25162,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,5,128,5,0,43,0,0,0,22,0,0,0,0,0,0,0,0,0,70,0,3,73,70,73
1028,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,2,220,4,0,136,1,0,0,5,0,0,0,0,0,0,0,0,0,146,0,1,147,146,147
1029,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,3,220,4,0,121,4,0,0,12,0,0,0,0,0,0,0,0,0,141,0,17,158,141,158
1030,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,4,220,1,0,133,1,3,0,3,0,0,0,0,0,0,0,0,0,141,0,10,151,141,151
1031,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,5,220,3,0,146,0,2,0,7,0,0,0,0,0,0,0,0,0,158,0,1,159,158,159
1032,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,6,220,5,0,119,2,0,0,5,0,0,0,0,0,0,0,0,0,131,1,7,139,131,139
1035,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,9,84,0,0,50,2,1,0,3,0,0,0,0,0,0,0,0,0,56,0,2,58,56,58
1037,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,2,220,3,0,140,2,0,0,10,0,0,0,0,0,0,0,0,0,155,0,1,156,155,156
1039,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,4,220,4,0,123,5,3,0,18,0,0,0,0,0,0,0,0,0,153,0,3,156,153,156
1041,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,6,220,3,0,149,2,1,0,6,0,0,0,0,0,0,0,0,0,161,0,0,161,161,161
1042,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,7,220,13,0,115,0,0,0,10,0,0,0,0,0,0,0,0,0,138,0,5,143,138,143
1043,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,8,220,2,0,133,6,1,0,16,0,0,0,0,0,0,0,0,0,158,1,0,159,158,159
1045,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,10,220,6,0,121,0,2,0,14,0,0,0,0,0,0,0,0,0,143,2,2,147,143,147
1055,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,4,220,6,0,110,2,0,0,15,0,0,0,0,0,0,0,0,0,133,0,3,136,133,136
1065,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25167,Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto,5,210,6,0,92,0,2,0,16,0,0,0,0,0,0,0,0,0,116,0,2,118,116,118
1085,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25174,Escuela Jornada Simple  N° 22 De 13 Santa Maria de Bs. As,8,220,0,0,138,1,2,0,8,0,0,0,0,0,0,0,0,0,149,1,4,154,149,154
